video_id,content,sentiment,confidence,url,title,published_date,sentiment_label
video_16,캐치티니핑 2기 반짝반짝 캐치!티니핑 쪼꼼핑 1 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_쪼꼼핑 1 쪼꼼핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,1,0.1155918041865031,https://www.youtube.com/watch?v=yIk9aXXDD4o,캐치티니핑 2기 반짝반짝 캐치!티니핑 쪼꼼핑[1] 색칠공부도안 그리기 #shorts,2022-11-27,neutral
video_17,캐치티니핑 2기 반짝반짝 캐치!티니핑 발레핑 1 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_발레핑 1 발레핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,1,0.11572116613388062,https://www.youtube.com/watch?v=i7NBEPdG_qw,캐치티니핑 2기 반짝반짝 캐치!티니핑 발레핑[1] 색칠공부도안 그리기 #shorts,2022-11-24,neutral
video_18,캐치티니핑 2기 반짝반짝 캐치!티니핑 맛나핑 1 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_맛나핑 1 맛나핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,1,0.11557802557945251,https://www.youtube.com/watch?v=z9a3PKxikGU,캐치티니핑 2기 반짝반짝 캐치!티니핑 맛나핑[1] 색칠공부도안 그리기 #shorts,2022-11-26,neutral
video_19,"이 포스팅은 쿠팡 파트너스 활동의 일으로, 이에 따른 일정액의 수수료를 제공받습니다. 뉴트리코스트 쥐오줌풀 뿌리 Valerian Root 500mg 120캡슐, 120정, 2개 블로그에 방문하시면 발레리안 루트에 관한 더 자세한 내용을 확인하실 수 있습니다.",1,0.11647079388300578,https://www.youtube.com/watch?v=PuN2z230z-s,발레리안 루트  스트레스 완화와 숙면!,2025-02-15,neutral
video_20,캐치티니핑 2기 반짝반짝 캐치!티니핑 원더핑 2 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_원더핑 2 원더핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,1,0.11543970306714375,https://www.youtube.com/watch?v=OH4H_KdQkjU,캐치티니핑 2기 반짝반짝 캐치!티니핑 원더핑[2] 색칠공부도안 그리기 #shorts,2022-11-29,neutral
video_21,치지직 롤 전적 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.1189904510974884,https://www.youtube.com/watch?v=FNpj3xfuKNU,그마 탑룰루 장인  5,2024-06-21,neutral
video_22,캐치티니핑 2기 반짝반짝 캐치!티니핑 싹싹핑 1 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_싹싹핑 1 싹싹핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,1,0.11564645171165466,https://www.youtube.com/watch?v=jFMNA1-uOoI,캐치티니핑 2기 반짝반짝 캐치!티니핑 싹싹핑[1] 색칠공부도안 그리기 #shorts,2022-11-26,neutral
video_23,"2024.09.04 직캠 fancam 영화 안녕, 할부지 GV film My Dearest Fu Bao Guest Visit 참석 심형준 감독, 강철원 주키퍼, 송영관 주키퍼, 오승희 주키퍼 진행 이화정 영화 저널리스트 장소 CGV 용산 12관 조명 설치 영화 안녕, 할부지 정보 안녕할부지, 안녕할부지GV, 영화안녕할부지, 영화안녕할부지GV, 안녕할부지관객과의대화, 다큐멘터리안녕할부지, 다큐영화안녕할부지, 푸바오다큐멘터리, 푸바오다큐영화, 푸바오다큐, 안녕할부지무대인사, 강철원사육사, 강철원직캠, 강철원사육사직캠, 송영관직캠, 오승희직캠, 오승희사육사직캠, 송영관사육사직캠, 메가토크, 관객과의대화, GV, 제작보고회, 제보회, 쇼케이스, 츄잉챗, 라이브챗, 라이브채팅, 스타라이브톡, 생중계, CGV, 롯데시네마, 메가박스, 기자간담회, 언론시사회 DON T Re upload or edit in ANY SHAPE or FORM! Just share the link or embed. 전체 혹은 일부 가공 재업로드를 금지하고, 무단 자료 사용도 금합니다. 공유하기 , 재생목록 추가, 임베드, 링크 형태로 퍼가는 건 자유롭게 가능합니다. You can only share with the Share Function or link address. 영상에 등장하는 아티스트 및 일반인 등에게 비매너 댓글을 달 경우 해당 댓글의 삭제 및 이후 댓글 달기가 불가능할 수 있습니다. 누군가에게 상처를 주는 댓글은 아닌지 다시 한번 확인해주세요. We prohibit malicious comments or hurtful comments about artists or people in the video. 욕설은 어떤 형태든 금지합니다. 사용음악 MUSIC Stefano Vita _ Somewhere _ soundstripe favorite cheap MUSIC licensing sites 저렴한 구독제 음악 사이트 ARTLIST 아트리스트 개성있는 음악, 편한 사용 free extra 2 months when you Subscribe using this link 위 링크를 통해 첫 구독하시면 2달이 추가됩니다 SOUNDSTRIPE 사운드스트라이프 대중적인 곡 많은 곳 songs of popular feeling get 40 off your first payment if they sign up for Soundstripe Standard 위 링크로 들어가셔서 첫 스탠다드 구독을 하시면 최대 40 할인됩니다. 고퀄리티 동영상 자료를 저렴하게 구독, 사용하는 사이트 A site that uses video source cheaply. 아트그리드 Artgrid free extra 2 months when you Subscribe using this link 위 링크를 통해 첫 구독하시면 2달이 추가됩니다 동영상 편집 툴 템플릿 등을 저렴하게 구독, 사용하는 사이트 애프터 이펙트, 프리미어 프로, 다빈치 리졸브, 파이널 컷 프로 Cheap video editing tool template subscription site. 모션 어레이 Motion Array 위 링크를 통해 결제하면 1년 구독 50달러 할인이 적용됩니다 If you pay through the link above, you will receive a 50 discount on your annual subscription.",0,0.3457610607147217,https://www.youtube.com/watch?v=FBRtSfbnQgw,"단톡방 위치를 알았던 송바오 ㅋㅋ: 영화 '안녕, 할부지' GV: 240904: 송영관 주키퍼: 푸바오 다큐",2024-09-05,negative
video_24,"제목 혈당 수치 낮추는 방법 건강한 삶을 위한 필수 가이드 출처 혈당수치낮추는방법 건강한삶을위한필수가이드 스크립트 현대인들에게 꼭 필요한 혈당 관리에 대해 이야기해 볼게요. 불규칙한 식습관과 스트레스 때문에 혈당 관리는 정말 중요해요. 혈당 정상 수치는 공복일 때 70 99mg dL, 식후 2시간에는 140mg dL 이하가 정상이에요. 만약 이 수치를 넘기면 당뇨병이나 합병증 위험이 커진다고 하니 조심해야 해요. 그럼, 혈당을 낮추려면 어떻게 해야 할까요? 첫 번째는 규칙적인 식사 패턴을 유지하는 거고, 두 번째는 저 GI 음식을 선택하는 거예요. 예를 들어 고구마나 현미 같은 음식들이 저 GI 음식이에요. 그리고 걷기 운동도 좋고, 수면은 7 8시간이 이상적이에요. 마지막으로 스트레스를 줄이는 것도 중요하죠! 이렇게 작은 습관들을 실천하면 건강한 혈당을 유지할 수 있어요. 오늘부터 시작해 볼까요? 제 사연에 공감하시면 좋아요 부탁드려요!",1,0.14217651883761087,https://www.youtube.com/watch?v=TpO_3joPO6w,혈당 수치 낮추는 방법-건강한 삶을 위한 필수 가이드,2025-03-27,neutral
video_25,탑룰루를 즐겨하는 남자이며 공주는 컨셉입니다 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu 챌린저 치지직 롤 전적 마우스 로지텍 G PRO X SUPERLIGHT 키보드 프리플로우 archon M1 PRO TKL e mail 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.11519016822179158,https://www.youtube.com/watch?v=F9jV9j3E5w0,챌린저 탑룰루 하이라이트 93,2025-04-15,neutral
video_26,"외출 잘 안하는 집냥이지만,, 나가게 될 때 입을 예 정인 코디 미리 낋여봤구요 벌써 한 착장 입었음!!! 그리고 요즘 저의 메이콥을 책임지고 있는 볼터치도 옙브게 봐주시면 참 감사합니다. 오늘 영상은 글피오 의 유료광고가 포함되어 있습니다. NEW! 글피오 포그밤 구매링크 4가지 컬러 무신사 뷰티 페스타 선런칭 5월 13일 5월 22일 11시까지! 포그밤 10 OFF 포그밤 구매 시 샴푸 60ml 증정 글피오 2개 이상 구매 시 하트 키링 증정! 글피오X한삐우 댓글 이벤트 포그밤 4가지 컬러 중 여름에 사용해보고 싶은 컬러는? 댓글 달아주시면 추첨을 통해 글피오 포그밤 드렁큰레드 벌스데이핑크 플럼키스 피치케이크 를 보내드려요! 이벤트 기간 5 13 화 5 19 월 당첨자 발표 이벤트 기간 종료 후 개별 연락 예정 경품 글피오 포그밤 드렁큰 레드 5명 글피오 포그밤 벌스데이 핑크 5명 글피오 포그밤 플럼키스 5명 글피오 포그밤 피치케이크 5명 구글폼 링크 댓글 응모 후 반드시 구글폼까지 작성해 주셔야 응모 완료! 착장 정보 요기요 오늘 영상은 00 00 00 46 볼터치 소개 00 47 볼터치 이벤트 05 18 LOOK1 05 47 셔츠 미들아우토프 s 단순선물 삐우 은은하이 차분한 분위기 나는 베이직 핏 셔쓰 팬츠 루에브르 s 삐우 얇아서 여름에 입기 딱 좋은 세트, 스커트만 따로 활용해도 예쁠듯 가방 마리떼프랑소와저버 단순선물 삐우 귀여움ㅠ 여름엔 이런 포인트되는 패브릭 백 조와요 신발 아디다스 태권도 메이 삐우 젖소 신발 발볼 좁은 스타일인데 이상하게 편해서 잘 신음 왕발볼 . 정사이즈 추천 LOOK2 07 16 티셔츠 비나이스 m 단순선물 삐우 낭낭 무난한 오버핏 반팔이고 네이비 컬러에 키치한 프린팅이 시원해 보이지 않나유 팬츠 h m 36 삐우 가격 굿 핏 굿 컬러 굿. 가성비템 인정이구요 지금보니 세일하네요. 가방 프라다 리에디션 리나일론 호보백 삐우 이것은 그냥 핑크색 맹품백 신발 마리떼프랑소와저버 삐우 뮤뮤맛 메리제인 소큐트. 무적권 사이즈 업하세요. 전 작아서 촬영용으로 밖에 못 신는중..또륵. 선글라스 YUN SEOUL 삐우 흔하지 않은 그레이 반투명 틴티드 선그라스 득템 럭키. 그런데 사이즈 많 이 큽니다 최대로 줄여도 큼 LOOK3 09 18 긴팔티 엘엘엘디자인스튜디오 단순선물 삐우 좀만 더 낭낭핏이였으면 더 예뻤을텐데 싶지만 나름 만족하는 와플티 편하게 툭툭 입기 좋움. 여기 옷 미니멀한게 눈독 들이고 있는게 제법 많음 팬츠 유라고 s 삐우 라이트 그레이 컬러가 유니크하고 예쁨! 근데 왜 매치가 잘 안되냐! 무채색만 입으면 쉬움 가방 프루아 단순선물 삐우 참 고급짐,,, 많이 무겁지도 않아서 툭툭 잘 들고있는 클래식 백. 유행 안탈 디자인이라 10년은 뽕뽑을듯 none 신발 헌터 플레이톨 삐우 미디 기장 레인부츠의 정석이죠? 종아리 통 낭낭한 스타일이라 캐주얼합니도 가볍진 않아요 고무잖아 LOOK4 10 56 가디건 앤더슨벨 빌리지 인타르시아 가디건 L 삐우 23fw 제품인가,,? 칠렐레 헬렐레 팔렐레한게 맘에 들어서 잘 입고 있긴 하나 튀기 때뭉에 자주 못 입는 것이 단점. 반팔 마리떼프랑소와저버 m 단순선물 삐우 서핑하는 곰이 귀여움. 톡톡한 면 소재 스커트 시티브리즈 삐우 다리 가늘어보이는 벌룬핏 스카트. 아랫배는 슬림하고 밑단만 풍성이라 오버핏 상의 레이어드하기 좋아유 양말!!!!!!!! 쿠팡 삐우 제가 신는 목 긴 검흰회 양말은 다 이겁니다. 단점 있습니다 끝부분? 쪼여서 아프게 자국 남 신발 나이키 에어리프트 삐우 나이키 불편해서 잘 안신는데 진짜 몇년은 뽕뽑았던 최애였습니다. 착화감 최고,, 갑자기 다른 컬러 뽐뿌오네요. LOOK5 12 33 자켓 이안조 단순선물 삐우 아세테이트 소재 광택이 저세상 고급짐임. 심지어 화면에 안담김. 시크세련멋 뿜뿜 얇은 홑겹이라 초여름까지 입을 예정 반팔 와이잭 s 삐우 말해모해 와이잭,, 무지티는 와이잭,, 팬츠 자라 사이드 밴드 체크 팬츠 3067 512 삐우 5개월 전 자라 영상에서 보여드린 제품,,이라 지금은 어떻게 찾아야하나,, 은은한 네이비 체크에 옆면 배색이 예쁩니다.. 겨울에 나왔지만 솔직히 이제 입어야할 두께감임니다. 가방 프루아 단순선물 삐우 참 고급짐,,, 많이 무겁지도 않아서 툭툭 잘 들고있는 클래식 백. 유행 안탈 디자인이라 10년은 뽕뽑을듯 none 신발 나이키 에어리프트 삐우 나이키 불편해서 잘 안신는데 진짜 몇년은 뽕뽑았던 최애였습니다. 착화감 최고,, 갑자기 다른 컬러 뽐뿌오네요. 감삼미다 13 46",1,0.17639827728271484,https://www.youtube.com/watch?v=xOLWBuwlfU4,이렇게 평범하게 입는 패션유튜버도 없습니다⁉️ 참 현실적이고 친근한 요즘 코디 미리짜봄🌸봄-여름 공존 데일리룩,2025-05-13,neutral
video_27,"설계변경하면서 추가된 부분에 대한 설계안전보건대장 작성 대상 여부_2023.06.19 설계안전보건대장이라고 들어보셨나요?. 2020년 1월 16일부터 시행되는 산업보건법 시행령 제56조에 따라 총공사금액이 50억 이상 건설공사에 현장에 비치하는 행정서류인데요. 계약은 2020년 1월 16일에 하고 기부체납시설이 추가되어 설계변경을 2020년 1월 16일 이후에 한다면 설계안전보건대장 작성 대상인지에 대해 2023년 6월 19일 국민신문고에 신청한 설계변경하면서 추가된 부분에 대한 설계안전보건대장 작성 대상 여부 에 대해 고용노동부 회신을 보면, 회신, 기존의 계약이 유지된 채로 단순히 설계내용만 변경된 경우라면, 작성 대상에 포함되지 않습니다. 이 영상이 도움이 되셨다면, 구독과 좋아요 부탁드립니다. 감사합니다. BITAMINGROUP 건축법일타박사 건축 건축법 주택 주택법 질의 질의회신 건설 건설관련법 부동산 부동산개발 건축사 공인중개사 시공사 시행사 감리자 건설사업관리 건설사 분양 실내건축 단독주택 공동주택 설계안전보건대장 설계변경 안전보건 관리규정 산업안전보건 안전보건관리 계획서 설계안전성검토 공정안전보고서 안전보건 경영방침 공사안전보건대장 안전보건대장 기본안전보건대장 안전보건진단 관련 질의회신은 건축법일타박사 홈페이지 에서 구매하실 수 있습니다. 2023 주 비타민그룹. All Rights Reserved. 아래 주소를 화면 상단 주소창에 입력하시면 관련 문서로 이동합니다.",1,0.20055224001407623,https://www.youtube.com/watch?v=9cUgHcJljzc,#설계변경하면서 추가된 부분에 대한 #설계안전보건대장 작성 대상 여부_2023.06.19,2023-08-05,neutral
video_28,탑룰루를 즐겨하는 남자이며 공주는 컨셉입니다 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu 치지직 롤 전적 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.11376511057217915,https://www.youtube.com/watch?v=4L54mJk_w0k,탑룰루 하이라이트 51,2025-02-23,neutral
video_29,치지직 롤 전적 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.1189904510974884,https://www.youtube.com/watch?v=Z86ldXvQmXk,탑룰루 하이라이트1 #lol,2024-06-19,neutral
